[description:"Kreativaufgabe" due:"1582022100" entry:"1580754741" modified:"1580755789" priority:"M" project:"&open;EN&close;" scheduled:"1580911200" status:"waiting" uuid:"7902baf2-ecb5-4f84-8265-7252a8fd9bc5" wait:"1580857200"]
[description:"Rezension" due:"1582108500" entry:"1580754812" modified:"1580755838" priority:"H" project:"&open;DE&close;" scheduled:"1580907600" status:"waiting" uuid:"17547225-55d5-4252-9963-4f0131bbeeb2" wait:"1580857200"]
[description:"Hefter Politisches System" due:"1581935700" entry:"1580754873" modified:"1580755975" priority:"H" project:"&open;SK&close;" scheduled:"1581571800" status:"waiting" uuid:"4f771e3d-b5a9-49fe-8f76-a3893a02e0f9" wait:"1581548400"]
[description:"Vorbereitung Test" due:"1581921900" entry:"1580754920" modified:"1580755861" priority:"H" project:"&open;MA&close;" scheduled:"1581744600" status:"waiting" uuid:"adb1f6be-9927-4bd8-8898-16c3ae39c4e6" wait:"1581721200"]
[description:"Vorbereitung KA" due:"1582267500" entry:"1580755232" modified:"1580756020" priority:"H" project:"&open;DE&close;" scheduled:"1582203600" status:"waiting" uuid:"c949500f-a69d-4003-8b1d-bfcebe0e6cdf" wait:"1582153200"]
[description:"Ausarbeitung Vortrag" due:"1583145300" entry:"1580755310" modified:"1580755886" priority:"H" project:"&open;SK&close;" scheduled:"1582725600" status:"waiting" uuid:"af01c658-8e53-4208-ac8d-dfa0379fa87c" wait:"1582671600"]
[description:"Vorbereitung KA" due:"1583217900" entry:"1580755373" modified:"1580756071" priority:"H" project:"&open;EN&close;" scheduled:"1583040600" status:"waiting" uuid:"f1a86c24-1d72-416e-b81b-aa675a8c1f7c" wait:"1583017200"]
[description:"Ausarbeitung Vortrag" due:"1583318100" entry:"1580755450" modified:"1580755908" priority:"M" project:"&open;DE&close;" scheduled:"1582894800" status:"waiting" uuid:"2e11ffc0-9856-4b9a-80c3-fb261998cc91" wait:"1582844400"]
